stu_id,year,dept,feedback,sentiment
19104001,BE,IT,The lectures were engaging,1
19104002,BE,IT,The course material was poorly organized,-1
19104003,BE,IT,The professor was knowledgeable and approachable,1
19104004,BE,IT,The workload was manageable,0
19104005,BE,IT,The facilities were outdated and cramped,-1
19104006,BE,IT,The course was very challenging and rewarding,1
19104007,BE,IT,The professor was disorganized and unhelpful,-1
19104008,BE,IT,The assignments were confusing,0
19104009,BE,IT,The labs were well-equipped and informative,1
19104010,BE,IT,The course was too theoretical,0
19104011,BE,IT,The lectures were informative,1
19104012,BE,IT,The professor was unapproachable and rude,-1
19104013,BE,IT,The course content was outdated and irrelevant,-1
19104014,BE,IT,The course was well-structured and paced,1
19104015,BE,IT,The labs were disorganized and poorly run,-1
19104016,BE,IT,The assignments were interesting and challenging,1
19104017,BE,IT,The professor was passionate and engaging,1
19104018,BE,IT,The course was poorly planned and executed,-1
19104019,BE,IT,The workload was excessive and unreasonable,-1
19104020,BE,IT,The lectures were boring and unengaging,-1
19104021,BE,IT,The course material was fascinating and relevant,1
19104022,BE,IT,The labs were informative and well-run,1
19104023,BE,IT,The assignments were well-designed and thought-provoking,1
19104024,BE,IT,The professor was knowledgeable but unapproachable,0
19104025,BE,IT,The course was well-taught and structured,1
19104026,BE,IT,The workload was manageable but challenging,0
19104027,BE,IT,The facilities were modern and well-maintained,1
19104028,BE,IT,The course was too focused on theory and not enough on practical skills,-1
19104029,BE,IT,The lectures were well-prepared and engaging,1
19104030,BE,IT,The professor was disorganized and unprepared,-1
19104031,BE,IT,The course content was relevant and up-to-date,1
19104032,BE,IT,The labs were poorly equipped and outdated,-1
19104033,BE,IT,The assignments were too easy and didn't challenge me enough,0
19104034,BE,IT,The professor was approachable and helpful,1
19104035,BE,IT,The course was too demanding and stressful,-1
19104036,BE,IT,The lectures were too fast-paced and hard to follow,-1
19104037,BE,IT,The workload was unmanageable and overwhelming,-1
19104038,BE,IT,The facilities were cramped and uncomfortable,-1
19104039,BE,IT,The course was well-designed and relevant,1
19104040,BE,IT,"The course covered a lot of material in a short time, but the professor did a good job of explaining everything.",0
19104041,BE,IT,The labs were helpful in reinforcing the concepts we learned in class.,1
19104042,BE,IT,The professor was always available to answer questions and provide feedback.,1
19104043,BE,IT,"The course was challenging, but it helped me improve my problem-solving skills.",1
19104044,BE,IT,The course could have benefited from more hands-on projects.,-1
19104045,BE,IT,The professor's teaching style was not engaging.,-1
19104046,BE,IT,"The course was disorganized, and it was hard to keep up with the workload.",-1
